date,AAPL,AMZN,NFLX,MSFT
2002-05-31,1.444668,18.23,1.076429,16.332054
2002-06-30,1.098692,16.25,0.999286,17.547897
2002-07-31,0.946164,14.45,0.953571,15.392109
2002-08-31,0.914543,14.94,0.936429,15.744993
2002-09-30,0.899042,15.93,0.692857,14.031905
2002-10-31,0.996387,19.360001,0.640714,17.153318
2002-11-30,0.961045,23.35,0.775,18.503889
2002-12-31,0.888502,18.889999,0.786429,16.585497
2003-01-31,0.890362,21.85,0.942857,15.225286
2003-02-28,0.930663,22.01,1.222143,15.254942
2003-03-31,0.876721,26.030001,1.453571,15.583211
2003-04-30,0.881682,28.690001,1.628571,16.458593
2003-05-31,1.112952,35.889999,1.607143,15.840671
2003-06-30,1.181776,36.32,1.825,16.503654
2003-07-31,1.307022,41.639999,1.871429,16.999281
2003-08-31,1.401886,46.32,2.380714,17.070078
2003-09-30,1.2847,48.43,2.397143,17.893976
2003-10-31,1.419247,54.43,4.092857,16.919876
2003-11-30,1.296481,53.970001,3.5,16.64155
2003-12-31,1.325002,52.619999,3.906429,17.716034
2004-01-31,1.398786,50.400002,5.243571,17.89727
2004-02-29,1.48311,43.009998,4.914286,17.172316
2004-03-31,1.676559,43.279999,4.874286,16.136671
2004-04-30,1.598435,43.599998,3.622857,16.913404
2004-05-31,1.739802,48.5,4.702857,16.978132
2004-06-30,2.017575,54.400002,5.142857,18.486296
2004-07-31,2.005173,38.919998,2.928571,18.440989
2004-08-31,2.138481,38.139999,1.992857,17.722851
2004-09-30,2.402613,40.860001,2.202857,17.950071
2004-10-31,3.248953,34.130001,1.352857,18.157806
2004-11-30,4.157295,39.68,1.625714,19.398298
2004-12-31,3.992987,44.290001,1.761429,19.333174
2005-01-31,4.768025,43.220001,1.642857,19.014816
2005-02-28,5.562901,35.18,1.528571,18.260609
2005-03-31,5.167323,34.27,1.55,17.542091
2005-04-30,4.471652,32.360001,1.65,18.362215
2005-05-31,4.930471,35.509998,2.041429,18.78451
2005-06-30,4.564655,33.09,2.344286,18.085545
2005-07-31,5.288849,45.150002,2.651428,18.64617
2005-08-31,5.814632,42.700001,3.08,19.994001
2005-09-30,6.647953,45.299999,3.712857,18.789103
2005-10-31,7.141496,39.860001,3.772857,18.767199
2005-11-30,8.410074,48.459999,3.934286,20.272333
2005-12-31,8.914781,47.150002,3.865714,19.151787
2006-01-31,9.363682,44.82,3.935714,20.61655
2006-02-28,8.493161,37.439999,3.83,19.745789
2006-03-31,7.777645,36.529999,4.141428,19.995647
2006-04-30,8.728772,35.209999,4.234286,17.746958
2006-05-31,7.411828,34.610001,3.955714,16.709566
2006-06-30,7.101815,38.68,3.887143,17.189098
2006-07-31,8.427437,26.889999,2.955714,17.749765
2006-08-31,8.413794,30.83,2.86,19.029463
2006-09-30,9.545972,32.119999,3.254286,20.251202
2006-10-31,10.054392,38.09,3.951429,21.258194
2006-11-30,11.366376,40.34,4.182857,21.813816
2006-12-31,10.520654,39.459999,3.694286,22.185307
2007-01-31,10.63102,37.669998,3.258571,22.928278
2007-02-28,10.492132,39.139999,3.218571,21.002241
2007-03-31,11.521381,39.790001,3.312857,20.778574
2007-04-30,12.375781,61.330002,3.167143,22.321875
2007-05-31,15.028268,69.139999,3.128572,22.95516
2007-06-30,15.13367,68.410004,2.77,22.042641
2007-07-31,16.339012,78.540001,2.461429,21.683609
2007-08-31,17.172327,79.910004,2.502857,21.564457
2007-09-30,19.031176,93.150002,2.964286,22.112391
2007-10-31,23.554907,89.150002,3.781429,27.629236
2007-11-30,22.596344,90.559998,3.3,25.303221
2007-12-31,24.563074,92.639999,3.802857,26.809368
2008-01-31,16.785425,77.699997,3.592857,24.550142
2008-02-29,15.503209,64.470001,4.511428,20.563154
2008-03-31,17.794838,71.300003,4.95,21.455233
2008-04-30,21.570814,78.629997,4.568572,21.561066
2008-05-31,23.406101,81.620003,4.337143,21.488682
2008-06-30,20.763536,73.330002,3.724286,20.874075
2008-07-31,19.710728,76.339996,4.412857,19.515852
2008-08-31,21.022715,80.809998,4.405715,20.78973
2008-09-30,14.094501,72.760002,4.411428,20.332642
2008-10-31,13.341786,57.240002,3.537143,17.011156
2008-11-30,11.491624,42.700001,3.282857,15.508099
2008-12-31,10.583897,51.279999,4.27,14.909866
2009-01-31,11.176645,58.82,5.162857,13.115162
2009-02-28,11.074958,64.790001,5.177143,12.471465
2009-03-31,13.035494,73.440002,6.131429,14.185816
2009-04-30,15.60365,80.519997,6.472857,15.64532
2009-05-31,16.841228,77.989998,5.631429,16.23427
2009-06-30,17.662148,83.660004,5.905715,18.472412
2009-07-31,20.261314,85.760002,6.277143,18.278131
2009-08-31,20.859028,81.190002,6.232857,19.263996
2009-09-30,22.984482,93.360001,6.595714,20.100206
2009-10-31,23.375105,118.809998,7.635714,21.671022
2009-11-30,24.790003,135.910004,8.375714,23.085535
2009-12-31,26.131752,134.520004,7.87,23.92544
2010-01-31,23.816572,125.410004,8.892858,22.120043
2010-02-28,25.374073,118.400002,9.435715,22.609909
2010-03-31,29.141371,135.770004,10.534286,23.09885
2010-04-30,32.376675,137.100006,14.128572,24.084637
2010-05-31,31.854618,125.459999,15.878572,20.438364
2010-06-30,31.191195,109.260002,15.521428,18.228165
2010-07-31,31.900509,117.889999,14.65,20.446281
2010-08-31,30.145821,124.830002,17.931429,18.691759
2010-09-30,35.186657,157.059998,23.165714,19.504093
2010-10-31,37.32328,165.229996,24.795713,21.240265
2010-11-30,38.584427,175.399994,29.414286,20.240932
2010-12-31,39.999332,180,25.1,22.364389
2011-01-31,42.077667,169.639999,30.582857,22.220154
2011-02-28,43.80011,173.289993,29.524286,21.424541
2011-03-31,43.217266,180.130005,33.968571,20.465359
2011-04-30,43.418163,195.809998,33.238571,20.892557
2011-05-31,43.132942,196.690002,38.685715,20.291193
2011-06-30,41.625027,204.490005,37.527142,21.09441
2011-07-31,48.421799,222.520004,37.998573,22.230259
2011-08-31,47.721169,215.229996,33.572857,21.717421
2011-09-30,47.285904,216.229996,16.181429,20.321293
2011-10-31,50.195084,213.509995,11.725715,21.741907
2011-11-30,47.395027,192.289993,9.218572,21.041897
2011-12-31,50.222366,173.100006,9.898571,21.354488
2012-01-31,56.606174,194.440002,17.171429,24.291142
2012-02-29,67.265724,179.690002,15.818571,26.280954
2012-03-31,74.347702,202.509995,16.434286,26.711521
2012-04-30,72.416931,231.899994,11.448571,26.512798
2012-05-31,71.641876,212.910004,9.062857,24.328133
2012-06-30,72.419403,228.350006,9.784286,25.494946
2012-07-31,75.737808,233.300003,8.121428,24.561493
2012-08-31,82.847824,248.270004,8.531428,25.856806
2012-09-30,83.079475,254.320007,7.777143,24.967503
2012-10-31,74.140106,232.889999,11.32,23.943966
2012-11-30,73.222649,252.050003,11.672857,22.516682
2012-12-31,66.578217,250.869995,13.227143,22.592806
2013-01-31,56.985012,265.5,23.605715,23.218744
2013-02-28,55.54409,264.269989,26.868572,23.70948
2013-03-31,55.702641,266.48999,27.040001,24.400293
2013-04-30,55.717735,253.809998,30.867144,28.22963
2013-05-31,56.966885,269.200012,32.32143,29.973494
2013-06-30,50.228096,277.690002,30.155714,29.664309
2013-07-31,57.321556,301.220001,34.925713,27.345446
2013-08-31,62.123211,280.980011,40.558571,28.887365
2013-09-30,60.788208,312.640015,44.172855,28.783575
2013-10-31,66.647102,364.029999,46.068573,30.625797
2013-11-30,71.315887,393.619995,52.257141,33.228413
2013-12-31,71.950768,398.790009,52.595715,32.600952
2014-01-31,64.201897,358.690002,58.475716,32.975685
2014-02-28,67.894188,362.100006,63.66143,33.635612
2014-03-31,69.248878,336.369995,50.290001,35.988625
2014-04-30,76.131958,304.130005,46.005714,35.470604
2014-05-31,82.124245,312.549988,59.689999,36.198288
2014-06-30,84.395966,324.779999,62.942856,36.870274
2014-07-31,86.820778,312.98999,60.388573,38.161182
2014-08-31,93.550148,339.040009,68.234283,40.41914
2014-09-30,91.95295,322.440002,64.454285,41.246563
2014-10-31,98.569885,305.459991,56.110001,41.771484
2014-11-30,109.016205,338.640015,49.512856,42.804924
2014-12-31,101.178932,310.350006,48.80143,41.587284
2015-01-31,107.393768,354.529999,63.114285,36.17065
2015-02-28,118.216537,380.160004,67.844284,39.538872
2015-03-31,114.507881,372.100006,59.527142,36.662495
2015-04-30,115.170479,421.779999,79.5,43.857941
2015-05-31,120.392212,429.230011,89.151428,42.527546
2015-06-30,115.910301,434.089996,93.848572,40.0681
2015-07-31,112.09375,536.150024,114.309998,42.382339
2015-08-31,104.673584,512.890015,115.029999,39.75679
2015-09-30,102.389992,511.890015,103.260002,40.432808
2015-10-31,110.930237,625.900024,108.379997,48.088177
2015-11-30,110.286354,664.799988,123.330002,49.984982
2015-12-31,98.129669,675.890015,114.379997,51.024227
2016-01-31,90.746178,587,91.839996,50.665543
2016-02-29,90.629341,552.52002,93.410004,47.129642
2016-03-31,102.158356,593.640015,102.230003,51.158993
2016-04-30,87.864235,659.590027,90.029999,46.19408
2016-05-31,94.170525,722.789978,102.57,49.43676
2016-06-30,90.153221,715.619995,91.480003,47.729782
2016-07-31,98.272682,758.809998,91.25,52.869335
2016-08-31,100.597023,769.159973,97.449997,53.930954
2016-09-30,107.186554,837.309998,98.550003,54.062355
2016-10-31,107.651123,789.820007,124.870003,56.239861
2016-11-30,105.325768,750.570007,117,56.941071
2016-12-31,110.376678,749.869995,123.800003,58.717522
2017-01-31,115.646774,823.47998,140.710007,61.089279
2017-02-28,131.117783,845.039978,142.130005,60.822701
2017-03-31,137.501846,886.539978,147.809998,62.609928
2017-04-30,137.492264,924.98999,152.199997,65.081627
2017-05-31,146.815247,994.619995,163.070007,66.774078
2017-06-30,138.415375,968,149.410004,65.90403
2017-07-31,142.942078,987.780029,181.660004,69.50853
2017-08-31,158.236786,980.599976,174.710007,71.868546
2017-09-30,148.703979,961.349976,181.350006,71.599403
2017-10-31,163.09967,1105.280029,196.429993,79.952187
2017-11-30,166.407013,1176.75,187.580002,81.310074
2017-12-31,163.869995,1169.469971,191.960007,82.633545
2018-01-31,162.127014,1450.890015,270.299988,91.781754
2018-02-28,173.181656,1512.449951,291.380005,91.009407
2018-03-31,163.128311,1447.339966,295.350006,88.583
2018-04-30,160.678177,1566.130005,312.459991,90.766754
2018-05-31,182.389633,1629.619995,351.600006,96.34594
2018-06-30,180.671844,1699.800049,391.429993,96.12175
2018-07-31,185.727646,1777.439941,337.450012,103.403252
2018-08-31,222.951584,2012.709961,367.679993,109.916916
2018-09-30,221.100433,2003,374.130005,111.913086
2018-10-31,214.361847,1598.01001,301.779999,104.515488
2018-11-30,175.519989,1690.170044,286.130005,108.976616
2018-12-31,155.037109,1501.969971,267.660004,99.817421
2019-01-31,163.587997,1718.72998,339.5,102.628075
2019-02-28,170.912918,1639.829956,358.100006,110.567131
2019-03-31,187.495865,1780.75,356.559998,116.399963
2019-04-30,198.077362,1926.52002,370.540009,128.894653
2019-05-31,173.473602,1775.069946,343.279999,122.516846
2019-06-30,196.115219,1893.630005,367.320007,132.70018
2019-07-31,211.097366,1866.780029,322.98999,134.988449
2019-08-31,207.622437,1776.290039,293.75,137.01825
2019-09-30,222.770889,1735.910034,267.619995,138.181091
2019-10-31,247.428162,1776.660034,287.410004,142.494583
2019-11-30,266.617249,1800.800049,314.660004,150.967651
2019-12-31,292.954712,1847.839966,323.570007,157.270432
2020-01-31,308.777191,2008.719971,345.089996,169.766296
2020-02-29,273.359985,1883.75,369.029999,162.009995
2020-03-31,247.740005,1900.099976,357.119995,149.699997
